"player_name","player_height","player_weight","gp_career","gp_by_season","pts_career_avg","reb_career_avg","ast_career_avg","net_rating_career","oreb_pct_career","dreb_pct_career","usg_pct_career","ts_pct_career","ast_pct_career","num_seasons","hall_of_fame","indiv_awards","playoffs_career","nba_titles","mvp_finals","finalist_career"
"Mfiondu Kabengele",206.586666666667,113.398,55,18.3333333333333,2.46666666666667,1.63333333333333,0.2,-6.76666666666667,0.0626666666666667,0.154,0.172333333333333,0.493666666666667,0.0496666666666667,2,0,0,2,0,0,1
"Micah Potter",205.74,112.490816,10,5,3.7,2.65,0.3,-30.3,0.0705,0.1725,0.1345,0.6525,0.0665,1,0,0,1,0,0,0
"Michael Beasley",207.587272727273,107.006476363636,609,55.3636363636364,11.6909090909091,4.41818181818182,1.22727272727273,-3.67272727272727,0.0517272727272727,0.178818181818182,0.266272727272727,0.525,0.102545454545455,11,0,0,4,1,0,1
"Michael Carter-Williams",197.273333333333,85.9304844444444,395,43.8888888888889,8.78888888888889,3.81111111111111,3.75555555555556,-5.96666666666667,0.0372222222222222,0.141555555555556,0.205222222222222,0.473555555555556,0.257666666666667,8,0,1,3,0,0,0
"Michael Kidd-Gilchrist",200.3425,105.233344,446,55.75,8.4125,5.325,1.125,2.35,0.06575,0.16625,0.161,0.522125,0.072875,8,0,0,1,0,0,0
"Michael Porter Jr.",208.28,98.883056,187,46.75,13.9,6.025,1.2,7.3,0.0485,0.1815,0.20925,0.57925,0.06475,3,0,0,4,0,0,0
"Mikal Bridges",198.628,94.8914464,392,78.4,13.04,4.02,2.32,2.82,0.0286,0.0948,0.1526,0.6114,0.0986,4,0,0,0,0,0,1
"Mike Conley",185.42,81.07957,1025,64.0625,14.78125,2.94375,5.6,2.38125,0.016,0.0869375,0.2156875,0.549,0.28,15,0,0,11,0,0,0
"Mike James",187.597142857143,85.3400948571429,1288,46,7.8,1.87142857142857,3.02142857142857,-0.385714285714286,0.0164285714285714,0.0930714285714286,0.217714285714286,0.470642857142857,0.260071428571429,7,0,0,14,0,0,0
"Mike Muscala",210.058,108.3631288,495,49.5,6.14,3.14,0.82,-1.48,0.0569,0.1586,0.1649,0.5827,0.0817,9,0,0,8,0,0,1
"Mike Scott",202.635555555556,107.501304,555,61.6666666666667,6.16666666666667,2.98888888888889,0.855555555555556,-1.11111111111111,0.0494444444444444,0.157,0.179111111111111,0.527333333333333,0.0894444444444444,9,0,0,9,0,0,0
"Miles Bridges",199.39,102.0582,291,72.75,13.35,5.65,2.25,-2.75,0.0375,0.1505,0.18425,0.5715,0.10975,4,0,0,0,0,0,0
"Miles McBride",186.69,88.45044,104,52,2.85,0.95,1.05,8.3,0.0135,0.072,0.139,0.434,0.1445,1,0,0,1,0,0,0
"Miles Plumlee",210.82,114.110787428571,346,49.4285714285714,4.18571428571429,3.71428571428571,0.514285714285714,-4.92857142857143,0.111,0.170857142857143,0.150142857142857,0.529,0.0655714285714286,7,0,0,3,0,0,0
"Mitchell Robinson",213.868,108.86208,289,57.8,8.24,7.9,0.62,-0.86,0.1354,0.166,0.1146,0.6868,0.0374,4,0,0,1,0,0,0
"Miye Oni",195.58,93.439952,80,26.6666666666667,1.9,1.23333333333333,0.4,-11.0333333333333,0.037,0.115,0.112,0.431333333333333,0.100333333333333,3,0,0,3,0,0,0
"Mo Bamba",213.36,103.872568,275,55,7.36,5.68,0.88,-7.08,0.0834,0.2162,0.1766,0.5642,0.0808,4,0,0,2,0,0,0
"Monte Morris",188.806666666667,81.7977573333333,342,57,9.3,2.23333333333333,3.71666666666667,0.433333333333333,0.0115,0.0815,0.160166666666667,0.5975,0.238333333333333,5,0,0,3,0,0,0
"Montrezl Harrell",201.93,108.86208,515,64.375,11.3875,4.775,1.2375,3.2,0.088375,0.142625,0.20075,0.6435,0.0965,7,0,1,6,1,0,0
"Moritz Wagner",210.82,111.13004,253,50.6,7.98,3.66,1.16,-6.04,0.0468,0.171,0.1984,0.6008,0.1114,4,0,0,1,0,0,0
"Moses Brown",218.44,111.13004,128,32,4.6,4.45,0.1,-17.975,0.12275,0.27025,0.186,0.5495,0.02275,3,0,0,2,0,0,0
"Moses Moody",195.58,95.707912,115,57.5,4.6,1.6,0.6,-2.3,0.031,0.0945,0.1445,0.588,0.0705,1,0,0,1,1,0,0
"Moses Wright",203.2,102.511792,4,4,1.3,0.8,0.5,-21.9,0.083,0.143,0.139,0.47,0.182,1,0,0,1,0,0,0
"Mychal Mulder",190.5,85.1240986666667,84,28,6.9,1.9,0.6,-0.4,0.011,0.0813333333333333,0.158333333333333,0.528,0.0436666666666667,3,0,0,2,0,0,1
"Myles Powell",187.96,88.45044,11,11,1.2,0.5,0.3,-15.1,0.019,0.098,0.163,0.364,0.088,1,0,0,1,0,0,0
"Myles Turner",210.82,112.887709,493,61.625,13.3,6.7625,1.1875,0.9875,0.051125,0.186,0.193875,0.585125,0.0625,7,0,0,5,0,0,0
"Naji Marshall",200.66,99.79024,164,54.6666666666667,7.5,3.6,2.13333333333333,-1.26666666666667,0.0313333333333333,0.152,0.176333333333333,0.517333333333333,0.146,2,0,0,1,0,0,0
"Nassir Little",195.58,99.79024,192,48,6.15,3.3,0.8,-3.775,0.0435,0.136,0.14475,0.556,0.062,3,0,0,3,0,0,0
"Nate Darling",198.12,90.7184,7,7,1.3,0.1,0.1,-54.3,0.032,0,0.133,0.541,0.111,1,0,0,0,0,0,0
"Nate Hinton",195.58,95.25432,23,11.5,1,0.2,0.2,24,0.0045,0.0455,0.2335,0.221,0.0755,2,0,0,1,0,0,0
"Nathan Knight",206.586666666667,114.758776,108,36,3.73333333333333,2,0.366666666666667,-1,0.093,0.149,0.195666666666667,0.585666666666667,0.0786666666666667,2,0,0,1,0,0,0
"Naz Mitrou-Long",192.193333333333,98.883056,20,6.66666666666667,2.3,0.6,0.9,83,0.00366666666666667,0.0586666666666667,0.272,0.765,0.166666666666667,3,0,0,3,0,0,0
"Naz Reid",205.74,119.748288,245,61.25,10,4.375,1.05,-3.9,0.0615,0.17875,0.22575,0.57725,0.09575,3,0,0,1,0,0,0
"Neemias Queta",213.36,112.490816,20,10,2.7,2.15,0.3,-23.8,0.1195,0.179,0.1585,0.551,0.0715,1,0,0,0,0,0,0
"Nemanja Bjelica",207.917142857143,105.686936,449,64.1428571428571,7.4,4.44285714285714,1.81428571428571,-0.528571428571429,0.0527142857142857,0.176142857142857,0.159,0.573571428571429,0.131,7,0,0,1,0,0,1
"Nerlens Noel",210.255555555556,100.999818666667,467,51.8888888888889,6.33333333333333,5.71111111111111,0.988888888888889,-6.45555555555556,0.0856666666666667,0.198777777777778,0.136777777777778,0.575444444444444,0.075,8,0,0,4,0,0,0
"Nic Claxton",210.82,97.52228,123,61.5,10.65,7.4,1.4,1.65,0.093,0.185,0.1525,0.6815,0.0785,3,0,0,0,0,0,0
"Nick Richards",213.36,111.13004,133,44.3333333333333,4,2.9,0.333333333333333,-9.33333333333333,0.085,0.147666666666667,0.136333333333333,0.635666666666667,0.0513333333333333,2,0,0,0,0,0,0
"Nick Young",200.025,94.12034,720,60,10.8833333333333,1.88333333333333,0.933333333333333,-5.325,0.016,0.0766666666666667,0.216166666666667,0.530666666666667,0.0719166666666667,12,0,0,5,1,0,0
"Nickeil Alexander-Walker",196.215,92.98636,217,54.25,8.375,2.375,2.075,-3,0.017,0.11175,0.21875,0.50875,0.17525,3,0,0,2,0,0,0
"Nico Mannion",187.96,86.18248,30,30,4.1,1.5,2.3,-9.4,0.016,0.107,0.186,0.487,0.27,1,0,0,0,0,0,0
"Nicolas Batum",203.369333333333,94.347136,993,66.2,10.3666666666667,4.95333333333333,3.25333333333333,2.33333333333333,0.0374666666666667,0.144666666666667,0.158,0.564733333333333,0.1546,14,0,0,6,0,0,0
"Nigel Williams-Goss",187.96,86.18248,10,10,1.4,0.6,0.6,4.5,0.037,0.07,0.161,0.415,0.158,1,0,0,1,0,0,0
"Nik Stauskas",198.12,93.1375573333333,343,57.1666666666667,5.83333333333333,1.73333333333333,1.28333333333333,-3.61666666666667,0.0136666666666667,0.0896666666666667,0.164166666666667,0.529666666666667,0.107166666666667,6,0,0,2,0,0,1
"Noah Vonleh",207.01,112.887709,362,45.25,3.675,3.9875,0.6125,-12.15,0.078375,0.213375,0.145125,0.458125,0.07225,7,0,0,6,0,0,1
"Norman Powell",192.0875,97.52228,481,60.125,12.3375,2.675,1.5625,0.175,0.017125,0.102875,0.208875,0.57975,0.10525,7,0,0,7,1,0,0
"Norvel Pelle",208.28,104.779752,40,13.3333333333333,1.96666666666667,2.16666666666667,0.166666666666667,-19.2333333333333,0.102666666666667,0.177,0.129666666666667,0.564333333333333,0.027,3,0,0,2,0,0,0
"OG Anunoby",201.676,105.5054992,301,60.2,11.3,4.34,1.56,4.34,0.037,0.112,0.1616,0.577,0.0758,5,0,0,4,1,0,0
"Obi Toppin",205.74,99.79024,201,67,6.83333333333333,2.9,0.866666666666667,4,0.0396666666666667,0.149666666666667,0.183,0.584333333333333,0.087,2,0,0,1,0,0,0
"Okaro White",203.2,94.347136,44,14.6666666666667,2.03333333333333,1.6,0.3,-5.66666666666667,0.0643333333333333,0.128,0.105,0.361333333333333,0.0316666666666667,3,0,0,3,0,0,1
"Olivier Sarr",212.09,108.86208,31,15.5,5.5,3.8,0.65,2.4,0.084,0.14,0.133,0.608,0.057,1,0,0,0,0,0,0
"Omari Spellman",204.47,111.13004,95,47.5,6.75,4.35,1,-9.4,0.078,0.1495,0.1615,0.5335,0.0855,2,0,0,0,0,0,0
"Omer Yurtseven",210.82,124.7378,65,32.5,4.85,3.95,0.55,3.5,0.1045,0.236,0.1745,0.6105,0.07,1,0,0,2,0,0,0
"Omri Casspi",205.74,102.0582,588,58.8,7.48,3.86,1.07,-2.96,0.0439,0.1762,0.1724,0.549,0.0879,10,0,0,2,1,0,0
"Onyeka Okongwu",204.046666666667,108.106093333333,178,59.3333333333333,7.56666666666667,5.46666666666667,0.833333333333333,0.333333333333333,0.111333333333333,0.175,0.142666666666667,0.682333333333333,0.0616666666666667,2,0,0,2,0,0,0
"Oshae Brissett",200.66,95.25432,172,43,7,3.9,0.775,3.05,0.059,0.14175,0.15375,0.5365,0.05875,3,0,0,2,1,0,0
"Otto Porter Jr.",203.2,89.811216,512,51.2,9.7,4.5,1.47,0.62,0.0484,0.1488,0.1614,0.563,0.0878,9,0,0,5,0,0,0
"P.J. Tucker",196.426666666667,111.13004,434,72.3333333333333,5.85,5.21666666666667,1.3,3.93333333333333,0.0443333333333333,0.132166666666667,0.0896666666666667,0.552,0.0598333333333333,11,0,0,6,0,0,0
"P.J. Washington",200.66,104.32616,260,65,12.775,5.5,2.325,-2.35,0.03725,0.142,0.18225,0.5565,0.1135,3,0,0,0,0,0,0
"PJ Dozier",198.12,92.98636,103,20.6,3.82,1.94,1.08,-3.98,0.0338,0.1568,0.234,0.4526,0.1306,5,0,0,4,0,0,0
"Paris Bass",203.2,90.7184,2,2,3,2,0,0.7,0.2,0.222,0.36,0.436,0,1,0,0,0,0,0,1
"Pascal Siakam",205.014285714286,104.32616,471,67.2857142857143,17.1,6.51428571428571,3.5,5.5,0.0498571428571429,0.166714285714286,0.222285714285714,0.561571428571429,0.160857142857143,6,0,1,6,1,0,0
"Pat Connaughton",195.2625,94.744029,478,59.75,5.7,3.275,1.1875,1.3125,0.04075,0.135,0.134875,0.550375,0.0975,7,0,0,8,1,0,0
"Patrick Beverley",185.650909090909,84.1206981818182,593,53.9090909090909,8.71818181818182,4.1,3.31818181818182,5.5,0.0432727272727273,0.114545454545455,0.147363636363636,0.546181818181818,0.176090909090909,10,0,0,8,0,0,0
"Patrick McCaw",200.66,83.1887728,199,39.8,3.24,1.48,1.28,-8.6,0.0204,0.0774,0.0912,0.6254,0.1238,5,0,0,5,2,0,1
"Patrick Patterson",205.278181818182,106.181763636364,719,65.3636363636364,6.56363636363636,3.79090909090909,0.990909090909091,2.54545454545455,0.0590909090909091,0.140727272727273,0.144,0.543,0.0722727272727273,11,0,0,7,0,0,0
"Patrick Williams",200.66,97.52228,170,56.6666666666667,9.46666666666667,4.23333333333333,1.16666666666667,-5,0.0363333333333333,0.123333333333333,0.147,0.591666666666667,0.0593333333333333,2,0,0,1,0,0,0
"Patty Mills",183.242857142857,83.1045342857143,860,61.4285714285714,8.46428571428571,1.53571428571429,2.08571428571429,2.14285714285714,0.0179285714285714,0.0683571428571429,0.21,0.556571428571429,0.178,13,0,0,11,1,0,1
"Pau Gasol",213.36,111.734829333333,1226,68.1111111111111,16.5611111111111,9.04444444444444,3.15555555555556,1.47777777777778,0.0838888888888889,0.224055555555556,0.2285,0.5615,0.167,18,0,1,15,2,0,1
"Paul George",204.372307692308,99.3017563076923,793,61,19.8,6.16923076923077,3.6,5.60769230769231,0.0283076923076923,0.170615384615385,0.272846153846154,0.560384615384615,0.180615384615385,12,0,1,10,0,0,0
"Paul Millsap",202.72375,114.3335335,1085,67.8125,13.1,6.8875,2.18125,4.0375,0.088375,0.191875,0.209375,0.555125,0.1204375,16,0,0,12,0,0,0
"Paul Reed",205.74,95.25432,133,44.3333333333333,3.56666666666667,2.83333333333333,0.433333333333333,1.53333333333333,0.143666666666667,0.181,0.170333333333333,0.576,0.0796666666666667,2,0,0,3,0,0,0
"Paul Watson",198.12,95.25432,46,15.3333333333333,3.53333333333333,2.13333333333333,0.766666666666667,-1.1,0.016,0.145666666666667,0.127,0.532666666666667,0.0873333333333333,3,0,0,2,1,0,0
"Payton Pritchard",185.42,88.45044,185,61.6666666666667,6.5,2.03333333333333,1.7,1.4,0.0313333333333333,0.0953333333333333,0.178333333333333,0.565333333333333,0.170333333333333,2,0,0,3,0,0,1
"Petr Cornelie",210.82,99.79024,13,13,1.1,1.1,0.2,5.8,0.159,0.219,0.208,0.418,0.115,1,0,0,1,0,0,0
"Precious Achiuwa",203.2,102.0582,189,63,7.76666666666667,5.3,0.833333333333333,-2.3,0.085,0.191666666666667,0.184666666666667,0.535666666666667,0.0663333333333333,2,0,0,2,0,0,1
"Quentin Grimes",194.31,95.25432,117,58.5,8.65,2.6,1.55,0.7,0.025,0.085,0.1455,0.592,0.0955,1,0,0,1,0,0,0
"Quincy Acy",200.66,106.918114285714,337,48.1428571428571,4.45714285714286,3.27142857142857,0.628571428571429,-2.15714285714286,0.0624285714285714,0.170571428571429,0.133285714285714,0.540428571428571,0.0628571428571429,7,0,0,0,0,0,0
