"player_name","player_height","player_weight","gp_career","gp_by_season","pts_career_avg","reb_career_avg","ast_career_avg","net_rating_career","oreb_pct_career","dreb_pct_career","usg_pct_career","ts_pct_career","ast_pct_career","num_seasons","hall_of_fame","indiv_awards","playoffs_career","nba_titles","mvp_finals","finalist_career"
"Toby Bailey",198.12,96.615096,73,36.5,3.2,1.8,0.6,-1.9,0.082,0.129,0.1825,0.454,0.091,2,0,0,0,0,0,0
"Todd Day",198.12,85.275296,175,43.75,7.9,2.175,1.2,2.875,0.04625,0.09325,0.215,0.4955,0.11325,8,0,0,2,0,0,0
"Todd Fuller",210.82,115.66596,225,45,3.5,2.72,0.16,-4.2,0.099,0.1948,0.1936,0.4526,0.0272,5,0,0,2,0,0,1
"Todd MacCulloch",213.36,121.33586,223,55.75,6.15,4.025,0.55,0.5,0.1105,0.1815,0.174,0.5685,0.047,4,0,0,3,0,0,0
"Tom Chambers",208.28,99.79024,13,6.5,3.8,1.6,0.15,-25.7,0.0215,0.168,0.1965,0.666,0.0385,16,0,0,0,0,0,0
"Tom Gugliotta",208.28,110.374053333333,449,49.8888888888889,10.7888888888889,6.1,2.18888888888889,-1.55555555555556,0.0766666666666667,0.180888888888889,0.193,0.482777777777778,0.128555555555556,13,0,0,2,0,0,0
"Tom Hammonds",205.74,101.151016,250,50,3.94,3,0.42,-0.56,0.0878,0.1522,0.1594,0.4812,0.0474,12,0,0,4,0,0,0
"Toney Douglas",187.6425,87.032965,394,49.25,6.85,2.125,2.1625,0.175,0.029125,0.11125,0.193125,0.49575,0.190375,8,0,0,4,1,0,0
"Tony Allen",193.04,96.615096,820,58.5714285714286,8.07142857142857,3.41428571428571,1.28571428571429,3.54285714285714,0.0635714285714286,0.118071428571429,0.189714285714286,0.533071428571429,0.100428571428571,14,0,0,10,1,0,0
"Tony Battie",210.82,108.86208,837,59.7857142857143,5.59285714285714,4.76428571428571,0.592857142857143,-1.94285714285714,0.0799285714285714,0.193714285714286,0.1445,0.5055,0.052,14,0,0,3,0,0,0
"Tony Bobbitt",193.04,86.18248,2,2,2.5,1.5,0,-4.2,0,0.167,0.195,0.5,0,1,0,0,1,0,0,1
"Tony Delk",187.96,86.1371208,545,54.5,8.58,2.34,1.8,-1.53,0.0338,0.0984,0.2113,0.4998,0.1561,10,0,0,4,0,0,1
"Tony Dumas",198.12,86.18248,31,15.5,2.8,0.7,0.85,3.45,0.0215,0.0815,0.2005,0.464,0.1565,4,0,0,0,0,0,0
"Tony Farmer",205.74,110.903244,101,50.5,4.4,2.6,0.6,-5.5,0.1015,0.142,0.1875,0.5095,0.07,2,0,0,1,0,0,0
"Tony Massenburg",205.74,113.398,496,55.1111111111111,5.74444444444444,4,0.333333333333333,-7.48888888888889,0.0937777777777778,0.186888888888889,0.180333333333333,0.512666666666667,0.0373333333333333,13,0,0,4,0,0,0
"Tony Mitchell",200.66,102.284996,48,12,1.5,0.75,0.2,2.85,0.1705,0.0885,0.187,0.57,0.12,1,0,0,2,0,0,0
"Tony Smith",191.346666666667,86.9384666666667,82,27.3333333333333,3.5,0.966666666666667,1.76666666666667,-9.26666666666667,0.04,0.0413333333333333,0.180666666666667,0.400666666666667,0.205666666666667,9,0,0,0,0,0,0
"Tony Wroten",198.12,93.326554,145,36.25,10.225,2.375,2.975,-15.15,0.03375,0.097,0.27775,0.465,0.271,4,0,0,1,0,0,0
"Tornike Shengelia",205.74,104.32616,45,22.5,1.35,0.9,0.35,-4.15,0.0645,0.139,0.1575,0.4795,0.0955,2,0,0,1,0,0,0
"Torraye Braggs",203.2,111.13004,22,11,1.8,2.15,0.25,-5.75,0.2625,0.227,0.183,0.4755,0.0415,2,0,0,1,0,0,0
"Toure' Murry",195.58,88.45044,56,28,1.95,0.55,0.6,1.6,0.0535,0.0455,0.2425,0.4945,0.163,2,0,0,1,0,0,0
"Tracy McGrady",203.2,97.6734773333333,938,62.5333333333333,18.5066666666667,5.40666666666667,4.32,0.613333333333333,0.0492,0.149333333333333,0.271733333333333,0.510266666666667,0.2446,15,1,1,8,0,0,0
"Tracy Moore",193.04,90.7184,27,27,3.7,1,0.7,-7.7,0.056,0.068,0.208,0.502,0.147,5,0,0,1,0,0,0
"Tracy Murray",200.66,103.532374,409,51.125,6.9375,2.0625,0.65,-5.9125,0.046125,0.10575,0.209625,0.482,0.07,12,0,0,4,1,0,0
